gene	beta	hr	se	z	p	q
SPC24	0.4063471098873138	1.501323586285649	0.1618703467976015	2.510324577208695	0.012062023599284988	0.9993228105536583
FRMD6	0.3641886189752934	1.439345676462358	0.1451828106271973	2.5084830456304	0.012125078673307144	0.9993228105536583
SSRP1	0.7583192176137851	2.1346852621437002	0.30236980361504207	2.507919800679663	0.01214442274775518	0.9993228105536583
LINC01597	-0.5708482522196303	0.5650459338901638	0.22782243584374817	-2.5056717970092555	0.012221900824465282	0.9993228105536583
RASSF10	-0.36219315796497037	0.696147888344865	0.14459020078273702	-2.504963379290179	0.012246407230823042	0.9993228105536583
FBN3	-0.5972288967920492	0.5503345588929489	0.23867384501026695	-2.5022804520803623	0.012339613277577932	0.9993228105536583
PPP1R2	1.0214519753307012	2.7772242990336284	0.4086030455098284	2.4998638325277276	0.012424105032878607	0.9993228105536583
PGK1	0.49829814805472583	1.6459177774402476	0.1999333423680052	2.4923214014875947	0.012691113854365943	0.9993228105536583
TBCA	0.819771780729615	2.269981724839974	0.3290919995462004	2.4910109691515894	0.01273801871084368	0.9993228105536583
PRDX2	0.6568081806419953	1.9286266718504097	0.263781151917241	2.4899738888397267	0.012775248054661681	0.9993228105536583
DEPDC1B	0.3405296661022289	1.4056919407888626	0.136815113296614	2.4889769697004414	0.012811126423291519	0.9993228105536583
CENPU	0.416604353239345	1.5168022762949034	0.1674412919642718	2.4880622237926775	0.012844125852578436	0.9993228105536583
FBXO2	-0.3504760092336776	0.7043527315042802	0.14086691330468265	-2.4879938163735376	0.0128465966679836	0.9993228105536583
PRELID1P1	0.7559155101366137	2.1295602651820413	0.30390340129417565	2.487354557130786	0.0128697064820531	0.9993228105536583
SIRT6	1.0285595338717726	2.7970338988719248	0.4137350523200778	2.4860343065060104	0.012917551227077606	0.9993228105536583
ACTG1	0.6822941806537643	1.9784113628319608	0.27450039096679285	2.485585460373	0.012933852830026016	0.9993228105536583
BAG3	0.6859636347001389	1.985684388268132	0.27615889364105944	2.483945476663618	0.012993570090446216	0.9993228105536583
RPS28P7	0.24009489149506894	1.27136978677748	0.09669731720213794	2.482952975760123	0.013029828696182744	0.9993228105536583
EPHX4	0.3487246078995382	1.4172588347066362	0.14046443971599987	2.482654034036033	0.01304076732766668	0.9993228105536583
IL1RAP	0.4898696083905734	1.63210339349206	0.19741903810898112	2.481369644401524	0.013087857131993008	0.9993228105536583
GBP2	0.5184628947014303	1.6794441821257027	0.2091558328158134	2.478835458335023	0.013181209709347108	0.9993228105536583
LINC00460	0.25917864764303855	1.2958652874298169	0.10494778465917763	2.469596175705206	0.013526565248284328	0.9993228105536583
CHAF1A	0.615744270971708	1.8510337576988485	0.2494829052063521	2.468082013324376	0.013583919305041103	0.9993228105536583
UBE2MP1	0.7045200010612035	2.0228754737701067	0.28545979095429214	2.4680183457922147	0.013586335629428348	0.9993228105536583
AC022613.1	0.3999704097843165	1.4917805548798053	0.16218195644605019	2.466183159637531	0.013656148438303095	0.9993228105536583
HRAS	0.8515624488628091	2.3433052878043847	0.3453589502875878	2.4657315183338806	0.013673377958108635	0.9993228105536583
FAM72A	0.7406059281527879	2.0972058856669857	0.3006279647258201	2.463529727942104	0.0137576486163562	0.9993228105536583
UBE2F	1.196443526227482	3.308329986368093	0.48632584352411934	2.460168510802458	0.013887179445754683	0.9993228105536583
